code;name
desktop_computer_bau;desktop computer, business-as-usual
lcd_display_bau;LCD display, business-as-usual
gas_chromatograph_6890_bua;Gas chromatograph 6890, business-as-usual
mass_spectrometer_5973_bua;Mass spectrometer, business-as-usual
